question_id,question_text
1,Whether or not someone suffered emotionally
2,Whether or not some people were treated differently than others
3,Whether or not someone's action showed love for his or her country
4,Whether or not someone showed a lack of respect for authority
5,Whether or not someone violated standards of purity and decency
6,Whether or not someone was good at math
7,Whether or not someone cared for someone weak or vulnerable
8,Whether or not someone acted unfairly
9,Whether or not someone did something to betray his or her group
10,Whether or not someone conformed to the traditions of society
11,Whether or not someone did something disgusting
12,Whether or not someone was cruel
13,Whether or not someone was denied his or her rights
14,Whether or not someone showed a lack of loyalty
15,Whether or not an action caused chaos or disorder
16,Whether or not someone acted in a way that God would approve of
