question_id,question_text
17,Compassion for those who are suffering is the most crucial virtue.
18,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly."
19,I am proud of my country's history.
20,Respect for authority is something all children need to learn.
21,"People should not do things that are disgusting, even if no one is harmed."
22,It is better to do good than to do bad.
23,One of the worst things a person could do is hurt a defenseless animal.
24,Justice is the most important requirement for a society.
25,"People should be loyal to their family members, even when they have done something wrong."
26,Men and women each have different roles to play in society.
27,I would call some acts wrong on the grounds that they are unnatural.
28,It can never be right to kill a human being.
29,I think it's morally wrong that rich children inherit a lot of money while poor children inherit nothing.
30,It is more important to be a team player than to express oneself.
31,"If I were a soldier and disagreed with my commanding officer's orders, I would obey anyway because that is my duty."
32,Chastity is an important and valuable virtue.
