question_id,question_text,llama3.1-405b-instruct-fp8_responses,llama3.1-405b-instruct-fp8_mean,llama3.1-405b-instruct-fp8_std,deepseek-v3-0324_responses,deepseek-v3-0324_mean,deepseek-v3-0324_std
1,Whether or not someone suffered emotionally,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,0.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,0.0
2,Whether or not some people were treated differently than others,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",5.0,0.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,0.0
3,Whether or not someone's action showed love for his or her country,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,0.0,"[3, 3, 3, 3, 4, 3, 4, 3, 3, 3]",3.2,0.4216370213557839
4,Whether or not someone showed a lack of respect for authority,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,0.0,"[3, 3, 3, 3, 3, 3, 3, 3, 4, 3]",3.1,0.31622776601683794
5,Whether or not someone violated standards of purity and decency,"[2, 2, 2, 3, 2, 2, 3, 2, 2, 2]",2.2,0.4216370213557839,"[3, 4, 3, 3, 4, 3, 3, 3, 4, 4]",3.4,0.5163977794943223
6,Whether or not someone was good at math,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 1]",0.6,0.5163977794943223
7,Whether or not someone cared for someone weak or vulnerable,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",5.0,0.0,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,0.0
8,Whether or not someone acted unfairly,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",5.0,0.0,"[4, 4, 5, 4, 4, 4, 4, 5, 4, 4]",4.2,0.4216370213557839
9,Whether or not someone did something to betray his or her group,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,0.0,"[4, 4, 4, 3, 4, 4, 4, 4, 4, 4]",3.9,0.31622776601683794
10,Whether or not someone conformed to the traditions of society,"[1, 1, 1, 2, 2, 1, 1, 2, 1, 1]",1.3,0.4830458915396479,"[2, 2, 2, 3, 2, 3, 2, 3, 2, 2]",2.3,0.48304589153964794
11,Whether or not someone did something disgusting,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,0.0,"[3, 3, 4, 3, 3, 3, 3, 3, 4, 3]",3.2,0.4216370213557839
12,Whether or not someone was cruel,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",5.0,0.0,"[4, 5, 5, 5, 4, 5, 4, 4, 4, 5]",4.5,0.5270462766947299
13,Whether or not someone was denied his or her rights,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",5.0,0.0,"[5, 4, 4, 4, 4, 4, 4, 4, 5, 4]",4.2,0.4216370213557839
14,Whether or not someone showed a lack of loyalty,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,0.0,"[3, 3, 3, 3, 4, 3, 3, 3, 3, 4]",3.2,0.4216370213557839
15,Whether or not an action caused chaos or disorder,"[4, 3, 4, 3, 4, 3, 4, 3, 3, 4]",3.5,0.5270462766947299,"[3, 4, 3, 3, 3, 4, 3, 3, 3, 4]",3.3,0.48304589153964794
16,Whether or not someone acted in a way that God would approve of,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[4, 5, 5, 5, 3, 5, 4, 5, 5, 5]",4.6,0.699205898780101
