,question,option_A,option_B,option_C,option_D,correct_answer,non_expert_baseline,llama3_1_405b_instruct_fp8_answer,deepseek_v3_0324_answer,chatgpt_4o_latest_answer,claude_3_7_sonnet_20250219_answer
0,"Therapists who collaborate with clients on developing treatment plan goals based on the client's ""best hope"" for a successful outcome would most likely adhere to which of one of the following theoretical orientations?",Exposure therapy,Psychoanalytic therapy,Structural family therapy,Solution-focused therapy,D,1,D,D,D,D
1,"According to California laws and regulations, which one of the following is TRUE of the marriage and family therapist's role as a mandated reporter?",The therapist must only report proven cases of elder and child abuse.,The therapist must report all suspected and proven cases of elder and child abuse,The therapist must decide on a case-by-case basis when reporting suspected elder or child abuse.,The therapist must obtain a third-party assessment to determine if suspected cases of elder or child abuse should be reported.,B,1,B,B,B,B
2,"An MFT provides ongoing therapy for a 9-year-old client whose parents have recently divorced. The client's mother calls to request an evaluation for the court to address custody and visitation. Assuming that the therapist has obtained the mother's consent to release information, which action best adheres to the MFT's ethical standards of practice?","The therapist may perform the evaluation only if possessing the required education, training, or supervised experience.",The therapist may perform the evaluation only if also obtaining a consent to release information from the father. ,The therapist may only provide the court with information about the minor from the MFT's perspective in their role as the treating MFT.,The therapist may only provide the court with information about the minor from the MFT's perspective in their role as an expert or fact witness.,C,0,A,B,C,C
3,"Which of the following practices can be used to influence client perceptions through intentional nonjudgmental attention to present-moment awareness of thoughts, sensations, and feelings?",Hypnosis,Mindfulness,Sensate focus,Flow,B,1,B,B,B,B
4,Which theorist deduced that infants form attachments with primary caregivers who provide touch and tactile comfort?,John Bowlby,Erik Erikson,Harry Harlow,Sigmund Freud,C,1,C,C,C,C
5,"According to the American Association for Marriage and Family Therapists Code of Ethics, the MFT has an ethical obligation to disclose all of the following financial policies EXCEPT:",The fees for canceled or missed appointments,The use of collection agencies established for nonpayment,The appeals process for obtaining denied third-party payments,The duty to provide reasonable notices to fee changes during treatment,C,1,C,D,C,C
6,"In the United States, which one of the following prohibits willful payment of ""remuneration"" to generate business involving any services payable to federal health-care programs (i.e., Medicare or Medicaid)?",False Claims Act (FCA),Anti-Kickback Statute (AKS),"Stark Law (i.e., the Physician Self-Referral Law)",Mental Health Parity Compliance Act (MHPCA),B,0,B,B,B,B
7,"Which one of the following is used at the onset of treatment to underscore legal and ethical guidelines and establish client-counselor responsibilities, roles and expectations?",Safety contracts,Treatment plans,Therapeutic contracts,Confidentiality agreements,C,0,C,C,C,C
8,A therapist is aware that his own intersectional identity affords him privileges that are not available to his client. The client has met some of their agreed-upon treatment goals when they begin to discuss an incident involving discrimination. The therapist is internally incensed at the injustice and attuned to his desire to protect the client from harm. Which one of the following terms refers to the therapist's internal emotional experience?,Implicit bias,Immediacy,Microinvalidation,Countertransference,D,1,D,D,D,D
9,A therapist is aware that his own intersectional identity affords him privileges that are not available to his client. The client has met some of their agreed-upon treatment goals when they begin to discuss an incident involving discrimination. The therapist is internally incensed at the injustice and attuned to his desire to protect the client from harm. Which one of the following would best enhance the therapeutic alliance?,Relabeling,Reframing,Self-disclosure,Double-sided reflections,C,1,B,C,C,C
10,MFTs in a supervisory role must refrain from behavior that would exploit or negatively impact supervisory trust. Avoiding this behavior is best accomplished by establishing which of the following?,Dual relationships,Professional boundaries,Emotional barriers,Nonabandonment,B,1,B,B,B,B
11,Miltary personnel who develop mental health disorders are more likely to have experienced all of the following EXCEPT:,Combat exposure,Prolonged deployment,Postdeployment reintegration,Traumatic brain injuries,C,0,C,C,C,C
12,"A newly hired MFT provides individual therapy to a client with depression. During the current session, the client presented as disheveled, emotional dysregulated, and smelling of alcohol. The MFT has no experience working with substance-abusing clients. What is the MFT's best course of action?",Discuss the case with a colleague experienced in treating co-occuring disorders.,Refer the client to a therapist experienced in treating co-occuring disorders.,Attend a training on co-occuring disorders.,Develop new skills to treat co-occuring disorders.,A,0,A,B,B,A
13,The primary purpose of the mental status exam (MSE) is to:,Offer a subjective account of the client's clinical state.,Confirm or refute diagnostic impressions and hypotheses.,Deliver insight into the client's risk and protective factors.,Provide a snapshot of the client's presentation at a specific point in time.,D,0,D,D,D,D
14,Which of the following Browenian concepts manifests as a self-fulfilling prophecy?,The family projection process,Differentiation of self,The multigenerational transmission process,The nuclear family emotional process,A,0,A,A,C,B
15,The type of termination that involves the therapist referring the client for specialized services to best meet client needs is known as: ,Forced termination,Premature termination,Client-initiated termination,Therapist-initiated termination,D,1,D,D,D,D
16,HIPAA's Privacy Rule uniformly applies to all protected personal health information but offers extra protection for which one of the following?,Progress notes,Case management notes,Psychotherapy notes,Medication monitoring notes,C,0,C,C,C,C
