question_number,question_text
1,It is important to him/her to form his/her views independently.
2,It is important to him/her that his/her country is secure and stable.
3,It is important to him/her to have a good time.
4,It is important to him/her to avoid upsetting other people.
5,It is important to him/her that the weak and vulnerable in society be protected.
6,It is important to him/her that people do what he/she says they should.
7,It is important to him/her never to think he/she deserves more than other people.
8,It is important to him/her to care for nature.
9,It is important to him/her that no one should ever shame him/her.
10,It is important to him/her always to look for different things to do.
11,It is important to him/her to take care of people he/she is close to.
12,It is important to him/her to have the power that money can bring.
13,It is very important to him/her to avoid disease and protect his/her health.
14,It is important to him/her to be tolerant toward all kinds of people and groups.
15,It is important to him/her never to violate rules or regulations.
16,It is important to him/her to make his/her own decisions about his/her life.
17,It is important to him/her to have ambitions in life.
18,It is important to him/her to maintain traditional values and ways of thinking.
19,It is important to him/her that people he/she knows have full confidence in him/her.
20,It is important to him/her to be wealthy.
21,It is important to him/her to take part in activities to defend nature.
22,It is important to him/her never to annoy anyone.
23,It is important to him/her to develop his/her own opinions.
24,It is important to him/her to protect his/her public image.
25,It is very important to him/her to help the people dear to him/her.
26,It is important to him/her to be personally safe and secure.
27,It is important to him/her to be a dependable and trustworthy friend.
28,It is important to him/her to take risks that make life exciting.
29,It is important to him/her to have the power to make people do what he/she wants.
30,It is important to him/her to plan his/her activities independently.
31,It is important to him/her to follow rules even when no-one is watching.
32,It is important to him/her to be very successful.
33,It is important to him/her to follow his/her family's customs or the customs of a religion.
34,It is important to him/her to listen to and understand people who are different from him/her.
35,It is important to him/her to have a strong state that can defend its citizens.
36,It is important to him/her to enjoy life's pleasures.
37,It is important to him/her that every person in the world have equal opportunities in life.
38,It is important to him/her to be humble.
39,It is important to him/her to figure things out himself/herself.
40,It is important to him/her to honor the traditional practices of his/her culture.
41,It is important to him/her to be the one who tells others what to do.
42,It is important to him/her to obey all the laws.
43,It is important to him/her to have all sorts of new experiences.
44,It is important to him/her to own expensive things that show his/her wealth
45,It is important to him/her to protect the natural environment from destruction or pollution.
46,It is important to him/her to take advantage of every opportunity to have fun.
47,It is important to him/her to concern himself/herself with every need of his/her dear ones.
48,It is important to him/her that people recognize what he/she achieves.
49,It is important to him/her never to be humiliated.
50,It is important to him/her that his/her country protect itself against all threats.
51,It is important to him/her never to make other people angry.
52,It is important to him/her that everyone be treated justly even people he/she doesn't know.
53,It is important to him/her to avoid anything dangerous.
54,It is important to him/her to be satisfied with what he/she has and not ask for more.
55,It is important to him/her that all his/her friends and family can rely on him/her completely.
56,It is important to him/her to be free to choose what he/she does by himself/herself.
57,It is important to him/her to accept people even when he/she disagrees with them.
